Current_TEG.png
 42.84300000,  0.80180000
 53.70190000,  1.23040000
 71.07600000,  1.92170000
 81.73740000,  2.18430000
 92.59620000,  2.43320000
 97.92690000,  2.53000000
103.45510000,  2.70970000
117.86770000,  3.15210000
123.19840000,  3.30410000
125.56760000,  3.41470000
128.52910000,  3.49770000
132.47780000,  3.56680000
137.21620000,  3.63590000
140.57260000,  3.71890000
145.31100000,  3.78800000
151.03650000,  3.84330000
156.36720000,  3.94010000
163.27740000,  4.09220000
168.80550000,  4.24420000
172.95160000,  4.35480000
178.08490000,  4.50690000
185.98220000,  4.72810000
