hh,mm,ss,mss,Power[W]
9,20,55,3,4.6196e+00
9,20,55,4,4.6192e+00
9,20,55,5,4.6192e+00
9,20,55,6,4.6190e+00
9,20,55,7,4.6190e+00
9,20,55,8,4.6187e+00
9,20,55,9,4.6187e+00
9,20,56,0,4.6184e+00
9,20,56,1,4.6184e+00
9,20,56,2,4.6181e+00
9,20,56,3,4.6181e+00
9,20,56,4,4.6180e+00
9,20,56,5,4.6180e+00
9,20,56,6,4.6177e+00
9,20,56,7,4.6177e+00
9,20,56,8,4.6174e+00
9,20,56,9,4.6174e+00
9,20,57,0,4.6173e+00
9,20,57,1,4.6173e+00
9,20,57,2,4.6170e+00
9,20,57,3,4.6170e+00
9,20,57,4,4.6167e+00
9,20,57,5,4.6167e+00
9,20,57,6,4.6165e+00
9,20,57,7,4.6165e+00
9,20,57,8,4.6162e+00
9,20,57,9,4.6162e+00
9,20,58,0,4.6159e+00
9,20,58,1,4.6159e+00
9,20,58,2,4.6158e+00
9,20,58,3,4.6158e+00
9,20,58,4,4.6155e+00
9,20,58,5,4.6155e+00
9,20,58,6,4.6153e+00
9,20,58,7,4.6153e+00
9,20,58,8,4.6150e+00
9,20,58,9,4.6150e+00
9,20,59,0,4.6148e+00
9,20,59,1,4.6148e+00
9,20,59,2,4.6146e+00
9,20,59,3,4.6146e+00
9,20,59,4,4.6143e+00
9,20,59,5,4.6143e+00
9,20,59,6,4.6140e+00
9,20,59,7,4.6140e+00
9,20,59,8,4.6138e+00
9,20,59,9,4.6138e+00
9,21,0,0,4.6135e+00
9,21,0,1,4.6135e+00
9,21,0,2,4.6132e+00
9,21,0,3,4.6132e+00
9,21,0,4,4.6128e+00
9,21,0,5,4.6128e+00
9,21,0,6,4.6126e+00
9,21,0,7,4.6126e+00
9,21,0,8,4.6123e+00
9,21,0,9,4.6123e+00
9,21,1,0,4.6120e+00
9,21,1,1,4.6120e+00
9,21,1,2,4.6117e+00
9,21,1,3,4.6117e+00
9,21,1,4,4.6116e+00
9,21,1,5,4.6116e+00
9,21,1,6,4.6112e+00
9,21,1,7,4.6112e+00
9,21,1,8,4.6109e+00
9,21,1,9,4.6109e+00
9,21,2,0,4.6105e+00
9,21,2,1,4.6105e+00
9,21,2,2,4.6103e+00
9,21,2,3,4.6103e+00
9,21,2,4,4.6100e+00
9,21,2,5,4.6100e+00
9,21,2,6,4.6097e+00
9,21,2,7,4.6097e+00
9,21,2,8,4.6093e+00
9,21,2,9,4.6093e+00
9,21,3,0,4.6090e+00
9,21,3,1,4.6090e+00
9,21,3,2,4.6088e+00
9,21,3,3,4.6088e+00
9,21,3,4,4.6085e+00
9,21,3,5,4.6085e+00
9,21,3,6,4.6082e+00
9,21,3,7,4.6082e+00
9,21,3,8,4.6078e+00
9,21,3,9,4.6078e+00
9,21,4,0,4.6074e+00
9,21,4,1,4.6074e+00
9,21,4,2,4.6071e+00
9,21,4,3,4.6071e+00
9,21,4,4,4.6068e+00
9,21,4,5,4.6068e+00
9,21,4,6,4.6066e+00
9,21,4,7,4.6066e+00
9,21,4,8,4.6063e+00
9,21,4,9,4.6063e+00
9,21,5,0,4.6059e+00
9,21,5,1,4.6059e+00
9,21,5,2,4.6059e+00
9,21,5,3,4.6059e+00
9,21,5,4,4.6054e+00
9,21,5,5,4.6054e+00
9,21,5,6,4.6052e+00
9,21,5,7,4.6052e+00
9,21,5,8,4.6049e+00
9,21,5,9,4.6049e+00
9,21,6,0,4.6047e+00
9,21,6,1,4.6047e+00
9,21,6,2,4.6044e+00
9,21,6,3,4.6044e+00
9,21,6,4,4.6041e+00
9,21,6,5,4.6041e+00
9,21,6,6,4.6039e+00
9,21,6,7,4.6039e+00
9,21,6,8,4.6036e+00
9,21,6,9,4.6036e+00
9,21,7,0,4.6033e+00
9,21,7,1,4.6033e+00
9,21,7,2,4.6031e+00
9,21,7,3,4.6031e+00
9,21,7,4,4.6028e+00
9,21,7,5,4.6028e+00
9,21,7,6,4.6025e+00
9,21,7,7,4.6025e+00
9,21,7,8,4.6023e+00
9,21,7,9,4.6023e+00
9,21,8,0,4.6020e+00
9,21,8,1,4.6020e+00
9,21,8,2,4.6018e+00
9,21,8,3,4.6018e+00
9,21,8,4,4.6016e+00
9,21,8,5,4.6016e+00
9,21,8,6,4.6014e+00
9,21,8,7,4.6014e+00
9,21,8,8,4.6012e+00
9,21,8,9,4.6012e+00
9,21,9,0,4.6010e+00
9,21,9,1,4.6010e+00
9,21,9,2,4.6009e+00
9,21,9,3,4.6009e+00
9,21,9,4,4.6006e+00
9,21,9,5,4.6006e+00
9,21,9,6,4.6003e+00
9,21,9,7,4.6003e+00
9,21,9,8,4.5999e+00
9,21,9,9,4.5999e+00
9,21,10,0,4.5998e+00
9,21,10,1,4.5998e+00
9,21,10,2,4.5995e+00
9,21,10,3,4.5995e+00
9,21,10,4,4.5991e+00
9,21,10,5,4.5991e+00
9,21,10,6,4.5989e+00
9,21,10,7,4.5989e+00
9,21,10,8,4.5985e+00
9,21,10,9,4.5985e+00
9,21,11,0,4.5983e+00
9,21,11,1,4.5983e+00
9,21,11,2,4.5979e+00
9,21,11,3,4.5979e+00
9,21,11,4,4.5979e+00
9,21,11,5,4.5979e+00
9,21,11,6,4.5974e+00
9,21,11,7,4.5974e+00
9,21,11,8,4.5972e+00
9,21,11,9,4.5972e+00
9,21,12,0,4.5970e+00
9,21,12,1,4.5970e+00
9,21,12,2,4.5967e+00
9,21,12,3,4.5967e+00
9,21,12,4,4.5964e+00
9,21,12,5,4.5964e+00
9,21,12,6,4.5961e+00
9,21,12,7,4.5961e+00
9,21,12,8,4.5958e+00
9,21,12,9,4.5958e+00
9,21,13,0,4.5956e+00
9,21,13,1,4.5956e+00
9,21,13,2,4.5953e+00
9,21,13,3,4.5953e+00
9,21,13,4,4.5950e+00
9,21,13,5,4.5950e+00
9,21,13,6,4.5949e+00
9,21,13,7,4.5949e+00
9,21,13,8,4.5947e+00
9,21,13,9,4.5947e+00
9,21,14,0,4.5943e+00
9,21,14,1,4.5943e+00
9,21,14,2,4.5939e+00
9,21,14,3,4.5939e+00
9,21,14,4,4.5937e+00
9,21,14,5,4.5937e+00
9,21,14,6,4.5933e+00
9,21,14,7,4.5933e+00
9,21,14,8,4.5930e+00
9,21,14,9,4.5930e+00
9,21,15,0,4.5928e+00
9,21,15,1,4.5928e+00
9,21,15,2,4.5926e+00
9,21,15,3,4.5926e+00
9,21,15,4,4.5922e+00
9,21,15,5,4.5922e+00
9,21,15,6,4.5922e+00
9,21,15,7,4.5922e+00
9,21,15,8,4.5919e+00
9,21,15,9,4.5919e+00
9,21,16,0,4.5916e+00
9,21,16,1,4.5916e+00
9,21,16,2,4.5914e+00
9,21,16,3,4.5914e+00
9,21,16,4,4.5911e+00
9,21,16,5,4.5911e+00
9,21,16,6,4.5909e+00
9,21,16,7,4.5909e+00
9,21,16,8,4.5906e+00
9,21,16,9,4.5906e+00
9,21,17,0,4.5903e+00
9,21,17,1,4.5903e+00
9,21,17,2,4.5900e+00
9,21,17,3,4.5900e+00
9,21,17,4,4.5896e+00
9,21,17,5,4.5896e+00
9,21,17,6,4.5895e+00
9,21,17,7,4.5895e+00
9,21,17,8,4.5892e+00
9,21,17,9,4.5892e+00
9,21,18,0,4.5888e+00
9,21,18,1,4.5888e+00
9,21,18,2,4.5885e+00
9,21,18,3,4.5885e+00
9,21,18,4,4.5883e+00
9,21,18,5,4.5883e+00
9,21,18,6,4.5880e+00
9,21,18,7,4.5880e+00
9,21,18,8,4.5878e+00
9,21,18,9,4.5878e+00
9,21,19,0,4.5875e+00
9,21,19,1,4.5875e+00
9,21,19,2,4.5871e+00
9,21,19,3,4.5871e+00
9,21,19,4,4.5869e+00
9,21,19,5,4.5869e+00
9,21,19,6,4.5866e+00
9,21,19,7,4.5866e+00
9,21,19,8,4.5862e+00
9,21,19,9,4.5862e+00
9,21,20,0,4.5860e+00
9,21,20,1,4.5860e+00
9,21,20,2,4.5857e+00
9,21,20,3,4.5857e+00
9,21,20,4,4.5855e+00
9,21,20,5,4.5855e+00
9,21,20,6,4.5852e+00
9,21,20,7,4.5852e+00
9,21,20,8,4.5848e+00
9,21,20,9,4.5848e+00
9,21,21,0,4.5846e+00
9,21,21,1,4.5846e+00
9,21,21,2,4.5843e+00
9,21,21,3,4.5843e+00
9,21,21,4,4.5840e+00
9,21,21,5,4.5840e+00
9,21,21,6,4.5839e+00
9,21,21,7,4.5839e+00
9,21,21,8,4.5834e+00
9,21,21,9,4.5834e+00
9,21,22,0,4.5831e+00
9,21,22,1,4.5831e+00
9,21,22,2,4.5829e+00
9,21,22,3,4.5829e+00
9,21,22,4,4.5825e+00
9,21,22,5,4.5825e+00
9,21,22,6,4.5823e+00
9,21,22,7,4.5823e+00
9,21,22,8,4.5820e+00
9,21,22,9,4.5820e+00
9,21,23,0,4.5816e+00
9,21,23,1,4.5816e+00
9,21,23,2,4.5814e+00
9,21,23,3,4.5814e+00
9,21,23,4,4.5812e+00
9,21,23,5,4.5812e+00
9,21,23,6,4.5809e+00
9,21,23,7,4.5809e+00
9,21,23,8,4.5807e+00
9,21,23,9,4.5807e+00
9,21,24,0,4.5803e+00
9,21,24,1,4.5803e+00
9,21,24,2,4.5800e+00
9,21,24,3,4.5800e+00
9,21,24,4,4.5798e+00
9,21,24,5,4.5798e+00
9,21,24,6,4.5796e+00
9,21,24,7,4.5796e+00
9,21,24,8,4.5792e+00
9,21,24,9,4.5792e+00
9,21,25,0,4.5790e+00
9,21,25,1,4.5790e+00
9,21,25,2,4.5786e+00
9,21,25,3,4.5786e+00
9,21,25,4,4.5784e+00
9,21,25,5,4.5784e+00
9,21,25,6,4.5781e+00
9,21,25,7,4.5781e+00
9,21,25,8,4.5780e+00
9,21,25,9,4.5780e+00
9,21,26,0,4.5777e+00
9,21,26,1,4.5777e+00
9,21,26,2,4.5774e+00
9,21,26,3,4.5774e+00
9,21,26,4,4.5771e+00
9,21,26,5,4.5771e+00
9,21,26,6,4.5769e+00
9,21,26,7,4.5769e+00
9,21,26,8,4.5767e+00
9,21,26,9,4.5767e+00
9,21,27,0,4.5765e+00
9,21,27,1,4.5765e+00
9,21,27,2,4.5762e+00
9,21,27,3,4.5762e+00
9,21,27,4,4.5759e+00
9,21,27,5,4.5759e+00
9,21,27,6,4.5756e+00
9,21,27,7,4.5756e+00
9,21,27,8,4.5755e+00
9,21,27,9,4.5755e+00
9,21,28,0,4.5750e+00
9,21,28,1,4.5750e+00
9,21,28,2,4.5747e+00
9,21,28,3,4.5747e+00
9,21,28,4,4.5744e+00
9,21,28,5,4.5744e+00
9,21,28,6,4.5742e+00
9,21,28,7,4.5742e+00
9,21,28,8,4.5740e+00
9,21,28,9,4.5740e+00
9,21,29,0,4.5737e+00
9,21,29,1,4.5737e+00
9,21,29,2,4.5734e+00
9,21,29,3,4.5734e+00
9,21,29,4,4.5732e+00
9,21,29,5,4.5732e+00
9,21,29,6,4.5729e+00
9,21,29,7,4.5729e+00
9,21,29,8,4.5725e+00
9,21,29,9,4.5725e+00
9,21,30,0,4.5722e+00
9,21,30,1,4.5722e+00
9,21,30,2,4.5721e+00
9,21,30,3,4.5721e+00
9,21,30,4,4.5718e+00
9,21,30,5,4.5718e+00
9,21,30,6,4.5714e+00
9,21,30,7,4.5714e+00
9,21,30,8,4.5711e+00
9,21,30,9,4.5711e+00
9,21,31,0,4.5709e+00
