hh,mm,ss,mss,Power[W]
9,20,55,3,3.3091e-07
9,20,55,4,3.3093e-07
9,20,55,5,3.3093e-07
9,20,55,6,3.3094e-07
9,20,55,7,3.3094e-07
9,20,55,8,3.3096e-07
9,20,55,9,3.3096e-07
9,20,56,0,3.3097e-07
9,20,56,1,3.3097e-07
9,20,56,2,3.3099e-07
9,20,56,3,3.3099e-07
9,20,56,4,3.3099e-07
9,20,56,5,3.3099e-07
9,20,56,6,3.3101e-07
9,20,56,7,3.3101e-07
9,20,56,8,3.3102e-07
9,20,56,9,3.3102e-07
9,20,57,0,3.3103e-07
9,20,57,1,3.3103e-07
9,20,57,2,3.3104e-07
9,20,57,3,3.3104e-07
9,20,57,4,3.3106e-07
9,20,57,5,3.3106e-07
9,20,57,6,3.3107e-07
9,20,57,7,3.3107e-07
9,20,57,8,3.3108e-07
9,20,57,9,3.3108e-07
9,20,58,0,3.3110e-07
9,20,58,1,3.3110e-07
9,20,58,2,3.3111e-07
9,20,58,3,3.3111e-07
9,20,58,4,3.3112e-07
9,20,58,5,3.3112e-07
9,20,58,6,3.3113e-07
9,20,58,7,3.3113e-07
9,20,58,8,3.3115e-07
9,20,58,9,3.3115e-07
9,20,59,0,3.3116e-07
9,20,59,1,3.3116e-07
9,20,59,2,3.3117e-07
9,20,59,3,3.3117e-07
9,20,59,4,3.3118e-07
9,20,59,5,3.3118e-07
9,20,59,6,3.3120e-07
9,20,59,7,3.3120e-07
9,20,59,8,3.3121e-07
9,20,59,9,3.3121e-07
9,21,0,0,3.3123e-07
9,21,0,1,3.3123e-07
9,21,0,2,3.3124e-07
9,21,0,3,3.3124e-07
9,21,0,4,3.3126e-07
9,21,0,5,3.3126e-07
9,21,0,6,3.3127e-07
9,21,0,7,3.3127e-07
9,21,0,8,3.3129e-07
9,21,0,9,3.3129e-07
9,21,1,0,3.3131e-07
9,21,1,1,3.3131e-07
9,21,1,2,3.3132e-07
9,21,1,3,3.3132e-07
9,21,1,4,3.3133e-07
9,21,1,5,3.3133e-07
9,21,1,6,3.3134e-07
9,21,1,7,3.3134e-07
9,21,1,8,3.3136e-07
9,21,1,9,3.3136e-07
9,21,2,0,3.3138e-07
9,21,2,1,3.3138e-07
9,21,2,2,3.3139e-07
9,21,2,3,3.3139e-07
9,21,2,4,3.3141e-07
9,21,2,5,3.3141e-07
9,21,2,6,3.3143e-07
9,21,2,7,3.3143e-07
9,21,2,8,3.3145e-07
9,21,2,9,3.3145e-07
9,21,3,0,3.3146e-07
9,21,3,1,3.3146e-07
9,21,3,2,3.3147e-07
9,21,3,3,3.3147e-07
9,21,3,4,3.3149e-07
9,21,3,5,3.3149e-07
9,21,3,6,3.3150e-07
