hh,mm,ss,mss,quantity
9,21,1,2,80.517
9,21,1,3,80.517
9,21,1,4,80.519
9,21,1,5,80.519
9,21,1,6,80.523
9,21,1,7,80.523
9,21,1,8,80.527
9,21,1,9,80.527
9,21,2,0,80.532
9,21,2,1,80.532
9,21,2,2,80.535
9,21,2,3,80.535
9,21,2,4,80.539
9,21,2,5,80.539
9,21,2,6,80.543
9,21,2,7,80.543
9,21,2,8,80.548
9,21,2,9,80.548
9,21,3,0,80.551
9,21,3,1,80.551
9,21,3,2,80.554
9,21,3,3,80.554
9,21,3,4,80.558
9,21,3,5,80.558
9,21,3,6,80.562
9,21,3,7,80.562
9,21,3,8,80.567
9,21,3,9,80.567
9,21,4,0,80.572
9,21,4,1,80.572
9,21,4,2,80.575
9,21,4,3,80.575
9,21,4,4,80.579
9,21,4,5,80.579
9,21,4,6,80.582
9,21,4,7,80.582
9,21,4,8,80.585
9,21,4,9,80.585
9,21,5,0,80.59
9,21,5,1,80.59
9,21,5,2,80.591
9,21,5,3,80.591
9,21,5,4,80.597
9,21,5,5,80.597
9,21,5,6,80.599
9,21,5,7,80.599
9,21,5,8,80.603
9,21,5,9,80.603
9,21,6,0,80.606
9,21,6,1,80.606
9,21,6,2,80.609
9,21,6,3,80.609
9,21,6,4,80.613
9,21,6,5,80.613
9,21,6,6,80.616
9,21,6,7,80.616
9,21,6,8,80.619
9,21,6,9,80.619
9,21,7,0,80.623
9,21,7,1,80.623
9,21,7,2,80.626
9,21,7,3,80.626
9,21,7,4,80.63
9,21,7,5,80.63
9,21,7,6,80.633
9,21,7,7,80.633
9,21,7,8,80.636
9,21,7,9,80.636
9,21,8,0,80.64
9,21,8,1,80.64
9,21,8,2,80.642
9,21,8,3,80.642
9,21,8,4,80.645
9,21,8,5,80.645
9,21,8,6,80.647
9,21,8,7,80.647
9,21,8,8,80.65
9,21,8,9,80.65
9,21,9,0,80.653
9,21,9,1,80.653
9,21,9,2,80.654
9,21,9,3,80.654
9,21,9,4,80.657
9,21,9,5,80.657
9,21,9,6,80.661
9,21,9,7,80.661
9,21,9,8,80.666
9,21,9,9,80.666
9,21,10,0,80.668
9,21,10,1,80.668
9,21,10,2,80.671
9,21,10,3,80.671
9,21,10,4,80.676
9,21,10,5,80.676
9,21,10,6,80.679
9,21,10,7,80.679
9,21,10,8,80.684
9,21,10,9,80.684
9,21,11,0,80.687
9,21,11,1,80.687
9,21,11,2,80.692
9,21,11,3,80.692
9,21,11,4,80.692
9,21,11,5,80.692
9,21,11,6,80.698
9,21,11,7,80.698
9,21,11,8,80.7
9,21,11,9,80.7
9,21,12,0,80.703
9,21,12,1,80.703
9,21,12,2,80.707
9,21,12,3,80.707
9,21,12,4,80.71
9,21,12,5,80.71
9,21,12,6,80.714
9,21,12,7,80.714
9,21,12,8,80.718
9,21,12,9,80.718
9,21,13,0,80.721
9,21,13,1,80.721
9,21,13,2,80.724
9,21,13,3,80.724
9,21,13,4,80.728
9,21,13,5,80.728
9,21,13,6,80.73
9,21,13,7,80.73
9,21,13,8,80.732
9,21,13,9,80.732
9,21,14,0,80.737
9,21,14,1,80.737
9,21,14,2,80.742
9,21,14,3,80.742
9,21,14,4,80.745
9,21,14,5,80.745
9,21,14,6,80.75
9,21,14,7,80.75
9,21,14,8,80.753
9,21,14,9,80.753
9,21,15,0,80.756
9,21,15,1,80.756
9,21,15,2,80.759
9,21,15,3,80.759
9,21,15,4,80.764
9,21,15,5,80.764
9,21,15,6,80.764
9,21,15,7,80.764
9,21,15,8,80.768
9,21,15,9,80.768
9,21,16,0,80.771
9,21,16,1,80.771
9,21,16,2,80.774
9,21,16,3,80.774
9,21,16,4,80.777
9,21,16,5,80.777
9,21,16,6,80.78
9,21,16,7,80.78
9,21,16,8,80.784
9,21,16,9,80.784
9,21,17,0,80.788
9,21,17,1,80.788
9,21,17,2,80.792
9,21,17,3,80.792
9,21,17,4,80.796
9,21,17,5,80.796
9,21,17,6,80.798
9,21,17,7,80.798
9,21,17,8,80.802
9,21,17,9,80.802
9,21,18,0,80.806
9,21,18,1,80.806
9,21,18,2,80.81
9,21,18,3,80.81
9,21,18,4,80.813
9,21,18,5,80.813
9,21,18,6,80.817
9,21,18,7,80.817
9,21,18,8,80.819
9,21,18,9,80.819
9,21,19,0,80.823
9,21,19,1,80.823
9,21,19,2,80.828
9,21,19,3,80.828
9,21,19,4,80.831
9,21,19,5,80.831
9,21,19,6,80.835
9,21,19,7,80.835
9,21,19,8,80.839
9,21,19,9,80.839
9,21,20,0,80.842
9,21,20,1,80.842
9,21,20,2,80.846
9,21,20,3,80.846
9,21,20,4,80.848
9,21,20,5,80.848
9,21,20,6,80.852
9,21,20,7,80.852
9,21,20,8,80.857
9,21,20,9,80.857
9,21,21,0,80.86
9,21,21,1,80.86
9,21,21,2,80.863
9,21,21,3,80.863
9,21,21,4,80.867
9,21,21,5,80.867
9,21,21,6,80.869
9,21,21,7,80.869
9,21,21,8,80.875
9,21,21,9,80.875
9,21,22,0,80.879
9,21,22,1,80.879
9,21,22,2,80.881
9,21,22,3,80.881
9,21,22,4,80.886
9,21,22,5,80.886
9,21,22,6,80.889
9,21,22,7,80.889
9,21,22,8,80.893
9,21,22,9,80.893
9,21,23,0,80.897
9,21,23,1,80.897
9,21,23,2,80.9
9,21,23,3,80.9
9,21,23,4,80.903
9,21,23,5,80.903
9,21,23,6,80.906
9,21,23,7,80.906
9,21,23,8,80.909
9,21,23,9,80.909
9,21,24,0,80.914
9,21,24,1,80.914
9,21,24,2,80.918
9,21,24,3,80.918
9,21,24,4,80.92
9,21,24,5,80.92
9,21,24,6,80.923
9,21,24,7,80.923
9,21,24,8,80.928
9,21,24,9,80.928
9,21,25,0,80.93
9,21,25,1,80.93
9,21,25,2,80.935
9,21,25,3,80.935
9,21,25,4,80.938
9,21,25,5,80.938
9,21,25,6,80.942
9,21,25,7,80.942
9,21,25,8,80.943
9,21,25,9,80.943
9,21,26,0,80.947
9,21,26,1,80.947
9,21,26,2,80.951
9,21,26,3,80.951
9,21,26,4,80.954
9,21,26,5,80.954
9,21,26,6,80.957
9,21,26,7,80.957
9,21,26,8,80.959
9,21,26,9,80.959
9,21,27,0,80.962
9,21,27,1,80.962
9,21,27,2,80.966
9,21,27,3,80.966
9,21,27,4,80.969
9,21,27,5,80.969
9,21,27,6,80.973
9,21,27,7,80.973
9,21,27,8,80.975
9,21,27,9,80.975
9,21,28,0,80.981
9,21,28,1,80.981
9,21,28,2,80.985
9,21,28,3,80.985
9,21,28,4,80.988
9,21,28,5,80.988
9,21,28,6,80.991
9,21,28,7,80.991
9,21,28,8,80.993
9,21,28,9,80.993
9,21,29,0,80.998
9,21,29,1,80.998
9,21,29,2,81.001
9,21,29,3,81.001
9,21,29,4,81.004
9,21,29,5,81.004
9,21,29,6,81.008
9,21,29,7,81.008
9,21,29,8,81.012
9,21,29,9,81.012
9,21,30,0,81.016
9,21,30,1,81.016
9,21,30,2,81.018
9,21,30,3,81.018
9,21,30,4,81.022
9,21,30,5,81.022
9,21,30,6,81.026
9,21,30,7,81.026
9,21,30,8,81.03
9,21,30,9,81.03
9,21,31,0,81.033
9,21,31,1,81.033
9,21,31,2,81.038
9,21,31,3,81.038
9,21,31,4,81.041
9,21,31,5,81.041
9,21,31,6,81.043
9,21,31,7,81.043
9,21,31,8,81.047
9,21,31,9,81.047
9,21,32,0,81.05
9,21,32,1,81.05
9,21,32,2,81.053
9,21,32,3,81.053
9,21,32,4,81.056
9,21,32,5,81.056
9,21,32,6,81.059
9,21,32,7,81.059
9,21,32,8,81.061
9,21,32,9,81.061
9,21,33,0,81.065
9,21,33,1,81.065
9,21,33,2,81.069
9,21,33,3,81.069
9,21,33,4,81.071
9,21,33,5,81.071
9,21,33,6,81.074
9,21,33,7,81.074
9,21,33,8,81.077
9,21,33,9,81.077
9,21,34,0,81.079
9,21,34,1,81.079
9,21,34,2,81.082
9,21,34,3,81.082
9,21,34,4,81.087
9,21,34,5,81.087
9,21,34,6,81.089
9,21,34,7,81.089
9,21,34,8,81.094
9,21,34,9,81.094
9,21,35,0,81.097
9,21,35,1,81.097
9,21,35,2,81.1
9,21,35,3,81.1
9,21,35,4,81.103
9,21,35,5,81.103
9,21,35,6,81.107
9,21,35,7,81.107
9,21,35,8,81.11
9,21,35,9,81.11
9,21,36,0,81.112
9,21,36,1,81.112
9,21,36,2,81.115
9,21,36,3,81.115
9,21,36,4,81.117
9,21,36,5,81.117
9,21,36,6,81.12
9,21,36,7,81.12
9,21,36,8,81.123
9,21,36,9,81.123
9,21,37,0,81.124
9,21,37,1,81.124
9,21,37,2,81.128
9,21,37,3,81.128
9,21,37,4,81.132
9,21,37,5,81.132
