  A, V
  0.00000000,  9.13220000
  0.09910000,  9.17360000
  0.19940000,  9.13220000
  0.29980000,  9.09090000
  0.40020000,  9.13220000
  0.42580000,  9.11160000
  0.44610000,  9.11160000
  0.47100000,  9.09090000
  0.48880000,  9.07020000
  0.50060000,  8.96690000
  0.51240000,  8.84300000
  0.52420000,  8.71900000
  0.53270000,  8.53310000
  0.54120000,  8.20250000
  0.54780000,  7.89260000
  0.55570000,  7.54130000
  0.56090000,  7.19010000
  0.56550000,  6.90080000
  0.57140000,  6.52890000
  0.57600000,  6.13640000
  0.57930000,  5.80580000
  0.58320000,  5.47520000
  0.58580000,  5.10330000
  0.58980000,  4.81400000
  0.59310000,  4.44210000
  0.59630000,  4.07020000
  0.60220000,  3.61570000
  0.60680000,  3.05790000
  0.60880000,  2.70660000
  0.61340000,  2.39670000
  0.61600000,  1.96280000
  0.61930000,  1.65290000
  0.62260000,  1.28100000
  0.62650000,  0.84710000
  0.62980000,  0.47520000
  0.63440000,  0.00000000
